Verified,Helpful,Title,Body,Rating,Variation,Style
yes,-,Good product!,"I like the porcelain color on my fair skin. This product has a sheer yet build-able coverage and a very fine powder consistency that can be used as a stand alone light to medium coverage foundation, finishing powder or on eyelids before eye-shadow application. Wears well for hours.",5,B08GR69YJX,Color Name: pearl 5
yes,-,Favorite powder foundation and setting powder,"I had return this product becuase I chose the wrong color but after finding my correct shade, I fell in love with the powder foundation!  I love to put it over my liquid foundation as a truly full cover make up day. It helps keep my make put all day and night! It's comfortable and beautiful. I have dry skin so I'd recommend putting plenty of moisturizer before applying this dryer product but other than that, it's fantastic.",5,B08GR514T1,Color Name: sand 220
yes,-,Covers completely without the mess of a creme foundation.,"Working in health care I wear a mask for 10 hrs a day. I still wanted coverage ,but the creme foundations were clogging my pores. This sheer powder foundation is great. It goes on smooth,and the coverage is amazing. At the end of my shift it still looks great no fading or crease lines.",5,B08GR64MJ2,Color Name: true beige 130
yes,-,Great product but was damaged upon delivery,"I love this product, it is the correct color/tone for my skin tone, goes on smooth and light.  Even though, upon opening the package upon delivery, the compact powder was broken, I was still able to try this product.",5,B08GRK7DPY,Color Name: radiant honey 245
yes,-,Fantastic item to have in your makeup collection!,"Quality item and is everything we hoped for! My daughter wanted this, so I ordered one for each of us and we are very pleased. Goes on beautiful and blends without effort!  Neither of us want to spend lots of time doing makeup and this is perfect!Will definitely buy again!",5,B08GR69YJX,Color Name: pearl 5
yes,-,"Use as powder, not foundation","Use as a powder, not foundation and your makeup will last so long with this! I pair this with the liquid infallible foundation or the colourpop pretty fresh and use a big fluffy brush and set the whole face with just a little of this and my makeup lasts all day, even under a mask!",5,B08GR5ZKVR,Color Name: ivory buff 125
yes,-,Great product for your buck,"This is a great powder foundation, works better than the big and expensive brands, it is full coverage, easy to wear, doesn’t look heavy in your face, it blends very well with other make up products. Totally worth it.",5,B08GR514T1,Color Name: sand 220
yes,-,All the rage face powder!,"My daughter loves this poweder! She’s always trying powders that her friends use or are trending and she always come backs to this one! It blends easily, doesn’t cause breakouts and has a nice coverage and natural finish! It lasts all day and I love the price point!",5,B08GR69H8P,Color Name: porcelaine 10
yes,-,"My opinion, not for dry skin","Well..its very cakey...BUT i figured how to use it for myself. Just a make-up brush i put on. If i use the little make-up pad it comes with, feels cakey and at sometimes lime its drying my face. I love it on top of my liquid foundation, again when applied with a brush",5,B08GR64MJ2,Color Name: true beige 130
yes,-,Great coverage with a lightweight feel,"I saw this powder foundation on a video and took a chance purchasing it on Amazon. To my surprise, it’s lightweight, but has amazing coverage. I’ll definitely be purchasing this again.",5,B08GR51PZG,Color Name: ivory 20
yes,-,LOVE!,I thought it would just be a powder but was pleasantly surprised! I put it on and it completely covered my flaws. It is light wearing but I had to get another color to match my skin tone. I still really lived this product A LOT!,5,B08GR64MJ2,Color Name: true beige 130
yes,-,Who needs foundation in the summer?,LOVE this stuff ... couple of swipes over moisturizer and I fit for public viewing!  Great coverage and colors.  If I want even more serious coverage the Infallible matte liquid foundation plus this will hide all for all day with no shine!,5,B08GR514T1,Color Name: sand 220
